inn,skolkovo_id,name,year_founded,status,is_active,okved,fin_years,fin_years_count,revenue_latest,profit_latest,total_assets,equity,cash,egrul_name,egrul_ogrn,news_count,moex_ticker
6671285919,d642ee187a9c5c58a97d9340e64edded,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИН ПРОМОУТ СИСТЕМС""",2023,Действует,True,Разработка компьютерного программного обеспечения,2023-2025,3,,-573000.0,6977000.0,6977000.0,4140000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИН ПРОМОУТ СИСТЕМС""",1236600060290,0,
7730327121,3a6197f9df49ef98d72ec7297d7e461d,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОХЕМПМИЛ""",2024,Действует,True,"Производство прочих пищевых продуктов, не включенных в други",2024-2024,1,,-33000.0,40000.0,-13000.0,40000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОХЕМПМИЛ""",1247700571030,0,
3804117702,9dc5745e6dc4546f53144442db533593,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДАТА ФАКТОРИ,2022,Действует,True,Разработка компьютерного программного обеспечения,2023-2024,2,1499000.0,1499000.0,4010000.0,10000.0,2812000.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДАТА ФАКТОРИ,1223800021940,0,
1658250499,766c59d1f8e86479f11fa24b02adc6b0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНСААТ""",2024,Действует,True,Научные исследования и разработки в области естественных и т,2024-2024,1,403000.0,-630000.0,593000.0,-665000.0,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНСААТ""",1241600001422,0,
7203537749,88afc574e4612dbc9fcfa9f49a9b104d,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕКСТПРО""",2022,Действует,True,Научные исследования и разработки в области биотехнологии,2023-2024,2,,-7000.0,2071000.0,2071000.0,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕКСТПРО""",1227200007891,0,
6685220809,8453cda7d8b48c56e0f5eb56287653e8,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕНЕЗИС НИОКР""",2024,Действует,True,Научные исследования и разработки в области естественных и т,2024-2024,1,,-4000.0,95000.0,95000.0,40000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕНЕЗИС НИОКР""",1246600036715,0,
9722058334,332b31989f406cbb8aeb69cfaa89535a,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАНС""",2023,Действует,True,Научные исследования и разработки в области естественных и т,2024-2024,1,33708000.0,531000.0,25865000.0,562000.0,514000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАНС""",1237700720212,0,
3702186104,b400bce7bb7f8a5e6431471ab1433bc3,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЕ МЕДИЦИНСКИЕ ТЕХНОЛОГИИ""",2017,Действует,True,Научные исследования и разработки в области естественных и т,2017-2024,8,2274000.0,2853000.0,5999000.0,3563000.0,21000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЕ МЕДИЦИНСКИЕ ТЕХНОЛОГИИ""",1173702021415,0,
7722156602,e67056d9b384cb7b597563a08daca0f5,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ""МЕТ""",1998,Действует,True,"Производство инструментов и приборов для измерения, тестиров",2016-2021,6,39510000.0,135000.0,33192000.0,20678000.0,5585000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ""МЕТ""",1037739582209,0,
6166085401,be84f743691f653fc6dc2de40958e471,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАБЛ АП""",2012,Действует,True,Деятельность по созданию и использованию баз данных и информ,2015-2024,10,169263000.0,19044000.0,163324000.0,103953000.0,1534000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАБЛ АП""",1126193007984,0,
